[2025-02-16 16:42:30,984: INFO: extract_postgresql: line 23: Creating connection to RDS Postgresql Database]
[2025-02-16 16:42:32,496: INFO: extract_postgresql: line 32: Connection established]
[2025-02-16 16:42:32,499: INFO: extract_postgresql: line 47: Getting all data from the table fuel_consumption_2015_25]
[2025-02-16 16:42:33,971: INFO: extract_postgresql: line 49: Loaded 10639 records from the database]
[2025-02-16 16:42:33,973: INFO: extract_postgresql: line 52: PostgreSQL connection closed.]
[2025-02-16 16:42:33,977: INFO: extract_postgresql: line 70: Postgres Data Validated Successfully]
[2025-02-16 16:57:29,074: INFO: research: line 22: Connecting MongoDB server]
[2025-02-16 16:57:29,388: INFO: research: line 27: MongoDB server connected]
[2025-02-16 16:57:29,388: INFO: research: line 38: Loading data from mongodb]
[2025-02-16 16:57:29,388: INFO: research: line 41: Converting fetched data to Dataframe]
[2025-02-16 16:57:31,916: INFO: research: line 44: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 16:57:31,916: INFO: research: line 61: MongoDB Data Validated Successfully]
[2025-02-16 16:59:28,517: INFO: extract_mongodb: line 22: Connecting MongoDB server]
[2025-02-16 16:59:28,781: INFO: extract_mongodb: line 27: MongoDB server connected]
[2025-02-16 16:59:28,783: INFO: extract_mongodb: line 38: Loading data from mongodb]
[2025-02-16 16:59:28,783: INFO: extract_mongodb: line 41: Converting fetched data to Dataframe]
[2025-02-16 16:59:35,163: INFO: extract_mongodb: line 44: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 16:59:35,163: INFO: extract_mongodb: line 61: MongoDB Data Validated Successfully]
[2025-02-16 17:02:02,606: INFO: transform: line 13: Loading validated mongodb and validated postgres data]
[2025-02-16 17:02:02,606: INFO: extract_mongodb: line 22: Connecting MongoDB server]
[2025-02-16 17:02:02,854: INFO: extract_mongodb: line 27: MongoDB server connected]
[2025-02-16 17:02:02,854: INFO: extract_mongodb: line 38: Loading data from mongodb]
[2025-02-16 17:02:02,854: INFO: extract_mongodb: line 41: Converting fetched data to Dataframe]
[2025-02-16 17:02:09,236: INFO: extract_mongodb: line 44: Loaded 17853 records from db and converted into pandas DataFrame]
[2025-02-16 17:02:09,248: INFO: extract_mongodb: line 61: MongoDB Data Validated Successfully]
[2025-02-16 17:02:09,248: INFO: extract_postgresql: line 23: Creating connection to RDS Postgresql Database]
[2025-02-16 17:02:10,676: INFO: extract_postgresql: line 32: Connection established]
[2025-02-16 17:02:10,676: INFO: extract_postgresql: line 47: Getting all data from the table fuel_consumption_2015_25]
[2025-02-16 17:02:12,076: INFO: extract_postgresql: line 49: Loaded 10639 records from the database]
[2025-02-16 17:02:12,076: INFO: extract_postgresql: line 52: PostgreSQL connection closed.]
[2025-02-16 17:02:12,076: INFO: extract_postgresql: line 70: Postgres Data Validated Successfully]
[2025-02-16 17:02:12,076: INFO: transform: line 17: Defining final columns]
[2025-02-16 17:02:12,076: INFO: transform: line 21: Merging mongodb and postgres data on the defined final columns]
[2025-02-16 17:02:12,101: INFO: transform: line 24: Final data is ready now with shape (28492, 15)]
[2025-02-16 17:08:32,589: INFO: transform: line 13: Loading validated mongodb and validated postgres data]
[2025-02-16 17:08:32,589: INFO: extract_mongodb: line 22: Connecting MongoDB server]
[2025-02-16 17:08:32,865: INFO: extract_mongodb: line 27: MongoDB server connected]
[2025-02-16 17:08:32,865: INFO: extract_mongodb: line 38: Loading data from mongodb]
[2025-02-16 17:08:32,865: INFO: extract_mongodb: line 41: Converting fetched data to Dataframe]
